symbol	sample16_48hr_siNeg_1_S227	sample17_48hr_siNeg_2_S228	sample18_48hr_siNeg_3_S229	sample19_48hr_siFli1_1_S230	sample20_48hr_siFli1_2_S231	sample21_48hr_siFli1_3_S232
ENSG00000009954.10|BAZ1B	7014	7747.67	7027	4153	5235	4508
ENSG00000010017.12|RANBP9	1449	1640	1414	1536	1811	1590
ENSG00000010030.13|ETV7	13	23	19	46	87	60
ENSG00000010072.15|SPRTN	430	498	407	267	315	302
ENSG00000010165.19|METTL13	1494	1603	1524	868	1162	1035
ENSG00000010219.13|DYRK4	260	285	236.8	327.86	425	383
ENSG00000010244.18|ZNF207	6203	6854.94	5968.01	4213.99	5425	4934.69
ENSG00000010256.10|UQCRC1	3347	3797	3527	2219	3086	2503
ENSG00000010270.13|STARD3NL	609	724	624	622	765	701
ENSG00000010278.13|CD9	77	81	78	129	173	170
ENSG00000010282.14|HHATL	0	0	0	1	2	1
ENSG00000010292.12|NCAPD2	5365	5854	5151	1910	2625	2163
ENSG00000010295.19|IFFO1	629	685	671	1117	1581	1383
ENSG00000010310.8|GIPR	104	134	108	351	486.99	482
ENSG00000010318.20|PHF7	65	73	62	53	59	51
ENSG00000010319.6|SEMA3G	36	50	35	32	56	40
ENSG00000010322.15|NISCH	2846	3276	3102.98	5971	8881	7438
ENSG00000010327.10|STAB1	1	1	1	1	3	2
ENSG00000010361.13|FUZ	577	572	549	192	315	293
ENSG00000010379.15|SLC6A13	1	5	0	5	5	7
ENSG00000010404.17|IDS	2230.99	2395.78	2129.63	5540.31	7041.29	6161.94
ENSG00000010438.16|PRSS3	0	0	0	0	0	0
ENSG00000010539.11|ZNF200	414	492	432	335	438	390
ENSG00000010610.9|CD4	3	1	4	19	19	16
ENSG00000010626.14|LRRC23	112.43	142.14	115.63	124.76	234.67	211.24
ENSG00000010671.15|BTK	2	3	6	4	4	4
ENSG00000010704.18|HFE	204	194	170	275	338	279
ENSG00000010803.16|SCMH1	1152	1295	1165	1394	1904	1618
ENSG00000010810.17|FYN	944	1118	937	1414	1963	1577
ENSG00000010818.9|HIVEP2	545	599	485	2018	2754	2322
ENSG00000010932.16|FMO1	0	0	1	6	5	9
ENSG00000011007.12|ELOA	2774	3254.85	3004	3298	4107	3405
ENSG00000011009.10|LYPLA2	1275	1428	1336	1378.99	1999	1589
ENSG00000011021.21|CLCN6	959.92	1049.78	981.78	1197.76	1611.87	1364.97
ENSG00000011028.13|MRC2	1933	2011	1787	6329	9627	8047
ENSG00000011052.21|NME1-NME2	350.87	510.82	451.69	115.86	115.77	103.92
